Time(s),Ch1_Temp(℃),Ch2_Temp(℃)
0,25.047171814108044,25.18956679356743
60,25.095279523518304,25.09452483133047
120,25.05227547013412,25.073152512393296
180,25.012241662259285,25.023034634038606
240,25.08065464764904,25.06309945432529
300,25.018984315990217,25.032586295095193
360,25.051526972836744,25.096138046709513
420,25.048886072240197,25.109947026705534
480,25.019693992950994,25.06880193375816
540,25.015074346382644,25.006195603195447
600,25.081019535621436,25.062280965933027
660,25.003917967993686,25.003905747766
720,25.0644411031313,25.069969080769923
780,25.04830967548945,25.08293462861211
840,25.018005836790223,25.073232235491414
900,25.06531395615137,25.041772779977236
960,25.0988387495448,25.067777675675558
1020,25.041130165610532,25.113265099715466
1080,25.083870840385917,25.077735055001884
1140,25.064116274395438,25.1697598899065
1200,25.06082444403185,25.16667090236834
1260,25.058848002898593,25.14776753679599
1320,25.005916406722555,25.038346301537153
1380,25.05051439390849,25.162935521002847
1440,25.028101932970436,25.037512107366044
1500,25.029057177562304,25.055173390909363
1560,25.066222178795147,25.130068287782855
1620,25.034810912371455,25.136236693781058
1680,25.069690344199433,25.187108751797272
1740,25.07693588190295,25.157965821703577
1800,25.09052107806671,25.027031566512814
1860,25.096248324733185,25.146193718754105
1920,25.0115345600104,25.081638103308887
1980,25.082053937152196,25.138009952736343
2040,25.082466787503897,25.030853332844956
2100,25.061929954962256,25.191133814006697
2160,25.08081743152662,25.197251820265645
2220,25.059192038773002,25.08865820556716
2280,25.088316824079875,25.042343181276433
2340,25.054064757518066,25.031290430822466
2400,25.067667087086647,25.020050738062903
2460,25.07215795425628,25.161935925828242
2520,25.04543075544313,25.18596477812248
2580,25.07537523645212,25.017894840909687
2640,25.087301958182973,25.19118328153213
2700,25.09076307596497,25.161602901796662
2760,25.06201688511318,25.10607263196833
2820,25.050383083003844,25.07476889998403
2880,25.018685595784127,25.049491944622908
2940,25.01008332363318,25.162172037759117
3000,25.051511363482582,25.14070460590578
3060,25.06790305381944,25.064193967946654
3120,25.03402576857279,25.195959525450768
3180,25.07808929326503,25.00362868807658
3240,25.056549050790913,25.19751520563492
3300,25.0320921812742,25.120293984456147
3360,25.075695352862297,25.006518585607086
3420,25.043873461975473,25.199188415432832
3480,25.02374815211732,25.054651300055596
3540,25.07229967948075,25.19747263613153
3600,25.09195933968878,25.09786354005391
3660,25.083207709498026,25.192877864939614
3720,25.024710485399908,25.151819077852583
3780,25.027077931912793,25.10078416344573
3840,25.077656508202665,25.196690095255157
3900,25.09522517330216,25.03312306273377
3960,25.06754515479665,25.089902132344097
4020,25.093112329716394,25.077403831626807
4080,25.05868105882831,25.10268901512182
4140,25.05188082521344,25.132209928999206
4200,25.005761508406852,25.10420287302136
4260,25.009231007785452,25.145649797598065
4320,25.03032475605836,25.190060568111832
4380,25.02981802870399,25.066662723367763
4440,25.024294536129535,25.01527581690521
4500,25.022127305063638,25.113648542122938
4560,25.078074732284428,25.108215486810153
4620,25.042971115570772,25.106567240418485
4680,25.063322188634046,25.04275366434458
4740,25.05155161129868,25.139054629135032
4800,25.098916506217304,25.16921772036504
4860,25.06200468380712,25.122581021613158
4920,25.087062535552473,25.0395510661878
4980,25.030981127517503,25.008157409774547
5040,25.034411475059624,25.143319529372846
5100,25.092400665364284,25.12627227307535
5160,25.043713157420676,25.11830104201491
5220,25.015024214738183,25.17306305774084
5280,25.003579212843515,25.080409906512422
5340,25.03138694998331,25.150192503645115
5400,25.09539194277321,25.054886911398754
5460,25.025606158538594,25.084718501760463
5520,25.03971748069539,25.000610440636905
5580,25.09527978243476,25.10759293385942
5640,25.066818944591876,25.08035000712548
5700,25.010767925080188,25.05689029117695
5760,25.050514862771415,25.158611577752648
5820,25.050046937091924,25.167588915504908
5880,25.088524130037303,25.19538378033169
5940,25.084793806922278,25.164713220795882
6000,25.056235044029673,25.12475186555797
6060,25.094385356356828,25.16871014271037
6120,25.06070129547737,25.16685826825086
6180,25.09271331850497,25.186546077241502
6240,25.054463166861613,25.185856852152515
6300,25.031488630160887,25.070218335077545
6360,25.036872521119903,25.19027944204953
6420,25.03170330976204,25.07073569550742
6480,25.037731492584896,25.10942154393448
6540,25.0601169942844,25.07428731943494
6600,25.092741136096,25.062593692495103
6660,25.02852057608085,25.099311234261155
6720,25.058623122513726,25.055951874629613
6780,25.023848352058398,25.134559186774702
6840,25.071341236469376,25.068681084251324
6900,25.01092628243237,25.045842699727974
6960,25.04556031516109,25.080993697062404
7020,25.05398579445806,25.102311382299145
7080,25.074154505824467,25.161090366967372
7140,25.040738897627868,25.10499366590606
7200,25.08393555509566,25.127458983886378
7260,25.066365595564903,25.1771254536743
7320,25.06341642125631,25.06919362618383
7380,25.07851120968906,25.107197192878374
7440,25.00477178076868,25.170286351109574
7500,25.047634969490595,25.036287070041276
7560,25.049037162945723,25.165342482446363
7620,25.076967994160448,25.189155680658533
7680,25.02952725035185,25.02977529153343
7740,25.03517764985007,25.147985702331546
7800,25.020187536362226,25.065980746506288
7860,25.067978517205976,25.098615619268134
7920,25.06319561322154,25.06643703793299
7980,25.08498051727661,25.14759828610181
