Cycle,Discharge_Capacity(Ah)
1,2.799952484311474
2,2.7973114534034256
3,2.794586837867429
4,2.797652542051167
5,2.7976225920814124
6,2.7920631865757617
7,2.7991841354032903
8,2.7909829709816365
9,2.7982160248828785
10,2.789485678255573
11,2.7945248599915833
12,2.7875159917073717
13,2.7760288497484784
14,2.779560289016131
15,2.7728008819029215
16,2.77687384356381
17,2.782538447346885
18,2.7742382092526485
19,2.7870899008485304
20,2.7647666597594154
21,2.798701547250523
22,2.7845084697241287
23,2.7856324735359697
24,2.7726376862832027
25,2.7587206071051527
26,2.760638689276571
27,2.7894901009813062
28,2.7550574139202135
29,2.7720448977941308
30,2.7788284684901736
31,2.7830856896032485
32,2.7886665646727775
33,2.7523795032176075
34,2.7546404425563535
35,2.7375317574325515
36,2.7594706717037107
37,2.790351926016426
38,2.7418210528325595
39,2.74114361326946
40,2.7365460111788003
41,2.761914146664882
42,2.7178176965476517
43,2.775667275437157
44,2.7363658413201364
45,2.7974592758614705
46,2.767099353247482
47,2.7625328019778808
48,2.7674789450572175
49,2.798919990966955
50,2.718699382881481
51,2.7042248088063707
52,2.7949081580754855
53,2.799317330309288
54,2.719122202354538
55,2.757040846016573
56,2.7248036579434207
57,2.759172486828826
58,2.6939801896558224
59,2.788032989761259
60,2.71660009127437
61,2.702332373360719
62,2.773334607301953
63,2.77136736584643
64,2.7829299154027898
65,2.6773887271186942
66,2.7160659649667753
67,2.7115081616649452
68,2.7142073196418153
69,2.711132928846571
70,2.7125131007538172
71,2.715209305137893
72,2.7642925611002807
73,2.753718406612951
74,2.771780119416393
75,2.6581727649071123
76,2.717518070555604
77,2.7766924193461087
78,2.702890869776511
79,2.6654949822845113
80,2.740089418919681
81,2.668000423360351
82,2.761263968579034
83,2.7705107077308755
84,2.6332938414360996
85,2.6413979525417086
86,2.783687791040554
87,2.627585791418061
88,2.747790444353072
89,2.711789233495348
90,2.755116377883009
91,2.755861713542443
92,2.761215217963104
93,2.6175836597313245
94,2.740966290740313
95,2.6447529443100235
96,2.7677858920330727
97,2.7159781710563142
98,2.605981183091579
99,2.6607347241673187
100,2.783538903422091
101,2.60777728024621
102,2.6275876131897897
103,2.624628480744731
104,2.6066239313618844
105,2.6236315794367577
106,2.6446210570561526
107,2.750267306498332
108,2.642513686155653
109,2.6740935222678517
110,2.7099442692721865
111,2.5789916400313597
112,2.7427275547221073
113,2.7518299900999663
114,2.748046754710787
115,2.6553102505255897
116,2.585745889658189
117,2.5966232927543724
118,2.5788328721973035
119,2.796881202315422
120,2.617959436717066
121,2.569742849192488
122,2.6557840474994903
123,2.649124020475378
124,2.676673666370324
125,2.580058361343943
126,2.7330551024208485
127,2.794354215420217
128,2.74716690864445
129,2.626551245148308
130,2.5706165984809726
131,2.6897502950336034
132,2.5496656117485594
133,2.753553674772077
134,2.5773282968165825
135,2.532352158967803
136,2.6145037517031837
137,2.733826734841182
138,2.7275495818200026
139,2.57688663257764
140,2.6695741948975793
141,2.5817380419250924
142,2.683997216408359
143,2.657664812969052
144,2.5337678757893087
145,2.5364196560037704
146,2.784738041764877
147,2.600539358316576
148,2.5796042474598146
149,2.559173023090615
150,2.6117453188029636
151,2.730720210710378
152,2.766489665254955
153,2.502566301839177
154,2.572803660613763
155,2.505708604269372
156,2.580797498923559
157,2.656495885162623
158,2.519353136038213
159,2.7411841004605764
160,2.5912605173780374
161,2.6929204998229856
162,2.6238132116748814
163,2.482741034406315
164,2.7436095993448166
165,2.596860038286256
166,2.618581183768271
167,2.670020236778519
168,2.7211025153546022
169,2.7741784307049424
170,2.713900202866924
171,2.563437623647229
172,2.5891807822424653
173,2.709907048766689
174,2.4988805343154414
175,2.7505425535822554
176,2.7477509395879314
177,2.6223322459446425
178,2.612680085374323
179,2.6972475550917685
180,2.5555377439954343
181,2.447966769448049
182,2.5627139444345177
183,2.6385348894906033
184,2.4646901276306092
185,2.632120503689808
186,2.6068770933120877
187,2.696088282658152
188,2.55369396321523
189,2.4698437515205964
190,2.6886179330781212
191,2.680114496761778
192,2.5229504246827545
193,2.6894349235292494
194,2.6889808599479057
195,2.431682208221691
196,2.6945644670944073
197,2.4779200169770936
198,2.566287400037142
199,2.65774698264039
200,2.752348155805423
