Freq/Hz,Z'/ohm,"Z""/ohm",Z/ohm,Phase/deg
1.0000e+05,2.577134e+00,-1.928302e-01,2.584338e+00,-4.2791
7.6095e+04,2.595831e+00,-2.375904e-01,2.606682e+00,-5.2296
5.7904e+04,2.619529e+00,-2.925257e-01,2.635812e+00,-6.3719
4.4062e+04,2.649738e+00,-3.597701e-01,2.674050e+00,-7.7321
3.3529e+04,2.688479e+00,-4.417862e-01,2.724536e+00,-9.3318
2.5514e+04,2.738465e+00,-5.413343e-01,2.791457e+00,-11.1820
1.9415e+04,2.803333e+00,-6.613692e-01,2.880292e+00,-13.2746
1.4774e+04,2.887920e+00,-8.048173e-01,2.997968e+00,-15.5723
1.1242e+04,2.998572e+00,-9.741617e-01,3.152844e+00,-17.9977
8.5547e+03,3.143386e+00,-1.170748e+00,3.354329e+00,-20.4277
6.5097e+03,3.332253e+00,-1.393730e+00,3.611979e+00,-22.6973
4.9535e+03,3.576402e+00,-1.638655e+00,3.933934e+00,-24.6166
3.7694e+03,3.887067e+00,-1.895873e+00,4.324769e+00,-26.0003
2.8683e+03,4.272919e+00,-2.149368e+00,4.783055e+00,-26.7034
2.1826e+03,4.736306e+00,-2.377022e+00,5.299323e+00,-26.6508
1.6609e+03,5.269288e+00,-2.553465e+00,5.855389e+00,-25.8545
1.2638e+03,5.851541e+00,-2.655807e+00,6.426029e+00,-24.4116
9.6172e+02,6.452367e+00,-2.670617e+00,6.983211e+00,-22.4845
7.3182e+02,7.037190e+00,-2.598753e+00,7.501704e+00,-20.2686
5.5688e+02,7.575957e+00,-2.455175e+00,7.963857e+00,-17.9562
4.2376e+02,8.049380e+00,-2.263868e+00,8.361676e+00,-15.7085
3.2246e+02,8.450619e+00,-2.050858e+00,8.695917e+00,-13.6412
2.4538e+02,8.782980e+00,-1.838673e+00,8.973375e+00,-11.8238
1.8672e+02,9.055917e+00,-1.643709e+00,9.203881e+00,-10.2876
1.4208e+02,9.281350e+00,-1.476118e+00,9.397998e+00,-9.0367
1.0812e+02,9.471190e+00,-1.341056e+00,9.565661e+00,-8.0591
8.2272e+01,9.636104e+00,-1.240289e+00,9.715596e+00,-7.3344
6.2605e+01,9.785115e+00,-1.173613e+00,9.855245e+00,-6.8393
4.7639e+01,9.925688e+00,-1.139896e+00,9.990928e+00,-6.5513
3.6251e+01,1.006400e+01,-1.137785e+00,1.012812e+01,-6.4502
2.7585e+01,1.020529e+01,-1.166129e+00,1.027170e+01,-6.5187
2.0991e+01,1.035415e+01,-1.224229e+00,1.042627e+01,-6.7431
1.5973e+01,1.051477e+01,-1.311967e+00,1.059630e+01,-7.1123
1.2155e+01,1.069120e+01,-1.429886e+00,1.078640e+01,-7.6178
9.2491e+00,1.088752e+01,-1.579220e+00,1.100146e+01,-8.2531
7.0381e+00,1.110795e+01,-1.761931e+00,1.124682e+01,-9.0131
5.3557e+00,1.135704e+01,-1.980732e+00,1.152847e+01,-9.8932
4.0754e+00,1.163976e+01,-2.239127e+00,1.185317e+01,-10.8889
3.1012e+00,1.196163e+01,-2.541462e+00,1.222864e+01,-11.9951
2.3598e+00,1.232885e+01,-2.892990e+00,1.266372e+01,-13.2057
1.7957e+00,1.274842e+01,-3.299955e+00,1.316859e+01,-14.5126
1.3664e+00,1.322829e+01,-3.769699e+00,1.375493e+01,-15.9061
1.0398e+00,1.377751e+01,-4.310785e+00,1.443615e+01,-17.3742
7.9123e-01,1.440641e+01,-4.933151e+00,1.522763e+01,-18.9026
6.0209e-01,1.512680e+01,-5.648286e+00,1.614692e+01,-20.4754
4.5816e-01,1.595217e+01,-6.469441e+00,1.721411e+01,-22.0751
3.4864e-01,1.689799e+01,-7.411868e+00,1.845204e+01,-23.6834
2.6529e-01,1.798195e+01,-8.493105e+00,1.988677e+01,-25.2820
2.0188e-01,1.922434e+01,-9.733298e+00,2.154790e+01,-26.8531
1.5362e-01,2.064837e+01,-1.115557e+01,2.346917e+01,-28.3808
1.1690e-01,2.228068e+01,-1.278647e+01,2.568896e+01,-29.8507
8.8951e-02,2.415179e+01,-1.465644e+01,2.825102e+01,-31.2513
6.7688e-02,2.629665e+01,-1.680039e+01,3.120524e+01,-32.5737
5.1507e-02,2.875537e+01,-1.925837e+01,3.460862e+01,-33.8115
3.9194e-02,3.157389e+01,-2.207630e+01,3.852627e+01,-34.9611
2.9825e-02,3.480489e+01,-2.530683e+01,4.303273e+01,-36.0211
2.2695e-02,3.850874e+01,-2.901030e+01,4.821328e+01,-36.9923
1.7270e-02,4.275467e+01,-3.325592e+01,5.416565e+01,-37.8769
1.3141e-02,4.762201e+01,-3.812302e+01,6.100181e+01,-38.6784
1.0000e-02,5.320174e+01,-4.370255e+01,6.885011e+01,-39.4014
